DB00001,BE0000048
DB00002,BE0000767;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00003,BE0004796
DB00004,BE0000658;BE0000651;BE0002102
DB00005,BE0000704;BE0000949;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0001087;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00006,BE0000048
DB00007,BE0000203
DB00008,BE0000385;BE0000661
DB00009,BE0000211;BE0000538;BE0000717;BE0000240
DB00010,BE0000625
DB00011,BE0000385;BE0000661
DB00012,BE0000654
DB00013,BE0000211;BE0000717;BE0000895;BE0001088;BE0000240;BE0000969;BE0002112;BE0000942;BE0001656;BE0002113
DB00014,BE0000134;BE0000203
DB00015,BE0000211;BE0000538;BE0000717;BE0000240
DB00016,BE0000654
DB00017,BE0000431
DB00018,BE0000661;BE0000385
DB00019,BE0000793;BE0000394
DB00020,BE0000628;BE0001036;BE0002115;BE0002116;BE0002114
DB00021,BE0000318
DB00022,BE0000661;BE0000385
DB00023,BE0004798
DB00024,BE0000490
DB00025,BE0000216;BE0000364;BE0001043;BE0002117;BE0002118;BE0001098;BE0002109;BE0001011;BE0002119;BE0002110;BE0002120
DB00026,BE0000565
DB00027,
DB00028,BE0000710;BE0004684;BE0002098;BE0002099;BE0002100;BE0002097;BE0000901;BE0003455;BE0004685;BE0004686;BE0000855
DB00029,BE0000211;BE0000538;BE0000717;BE0000240
DB00030,BE0000033;BE0000858;BE0002123;BE0000941;BE0001183;BE0002124;BE0001123;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00031,BE0000211;BE0000538;BE0000717;BE0000240;BE0000969;BE0002104;BE0002105;BE0001170;BE0002109;BE0001011;BE0002110
DB00032,BE0000387;BE0000134
DB00033,BE0000711;BE0000467
DB00034,BE0000661;BE0000385
DB00035,BE0000293;BE0000165;BE0000773
DB00036,BE0000216;BE0002128;BE0000967;BE0000403;BE0000333;BE0001178
DB00038,BE0000416
DB00039,BE0000748;BE0002129;BE0002131;BE0001203;BE0002133;BE0001031
DB00040,BE0000527;BE0002134;BE0000857
DB00041,BE0000651;BE0000658;BE0002102
DB00042,BE0002137;BE0002136;BE0002138
DB00043,BE0000015;BE0002139
DB00044,BE0000134
DB00045,BE0001164
DB00046,BE0000033;BE0000858
DB00047,BE0000033;BE0000858
DB00048,BE0000025;BE0002140;BE0002130;BE0002141
DB00049,BE0004823
DB00050,BE0000203;BE0000134
DB00051,BE0000704;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00052,BE0000075;BE0000345
DB00053,BE0004806
DB00054,BE0001155;BE0000439;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100;BE0001068
DB00055,BE0000016;BE0000041;BE0000240;BE0001151;BE0000943;BE0001140;BE0000048;BE0001129;BE0002112;BE0002142;BE0000403;BE0001161
DB00056,BE0000674;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00057,BE0004842
DB00058,BE0000394
DB00059,BE0004798
DB00060,BE0000661;BE0000385
DB00061,BE0004828;BE0000917
DB00062,BE0001119;BE0004795;BE0000932
DB00063,BE0001155
DB00064,BE0001119;BE0004795;BE0000932
DB00065,BE0000704
DB00066,BE0000387
DB00067,BE0000293;BE0000165;BE0000773
DB00068,BE0000661;BE0000385
DB00069,BE0000661;BE0000385
DB00070,BE0004821;BE0000984
DB00071,BE0000033;BE0000858;BE0001183;BE0002122;BE0004466;BE0002123;BE0000941;BE0001123;BE0002124;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00072,BE0000511;BE0000767;BE0002093;BE0002094;BE0002095;BE0002096;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100;BE0000901;BE0002097
DB00073,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00074,BE0000658;BE0000651;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00075,BE0003456;BE0000274;BE0003457;BE0003458;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00076,BE0004837
DB00078,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00080,BE0004833;BE0004832
DB00081,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00082,BE0000075
DB00083,BE0000390;BE0003572
DB00085,BE0004834;BE0004835;BE0004836
DB00086,BE0000211;BE0000928
DB00087,BE0000083;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00088,BE0004806
DB00089,BE0000568
DB00090,BE0004822
DB00091,BE0000379;BE0002143;BE0001014;BE0001399
DB00092,BE0000719;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100;BE0000901
DB00093,BE0000165
DB00094,BE0000387
DB00095,BE0000516;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00096,
