DB00001,DB01048;DB00054;DB06736;DB01418;DB00945;DB00210;DB00346;DB01431;DB00404;DB00770;DB00009;DB11372;DB06081;DB04836;DB01223;DB00233;DB00321;DB00261;DB05099;DB00029;DB01435;DB11598;DB06605;DB05676;DB06692;DB00407;DB00278;DB06543;DB01076;DB07402;DB00972;DB01014;DB09005;DB06401;DB00102;DB09258;DB04812;DB05229;DB00006;DB08873;DB00963;DB01200;DB00248;DB06441;DB00564;DB00821;DB01816;DB00482;DB09261;DB00608;DB00269;DB01166;DB00604;DB04272;DB01211;DB01242;DB09218;DB00758;DB11249;DB00286;DB00924;DB00531;DB00091;DB08921;DB06695;DB06779;DB06754;DB01254;DB01609;DB04932;DB00705;DB03619;DB01151;DB11095;DB04925;DB00304;DB09255;DB11122;DB11076;DB11241;DB00586;DB00266;DB00890;DB09123;DB00255;DB00861;DB00390;DB00320;DB00975;DB08994;DB09167;DB01142;DB01395;DB00055;DB09215;DB00378;DB00651;DB00974;DB09075;DB00109;DB01225;DB00751;DB08991;DB01240;DB01240;DB00063;DB01049;DB01253;DB00696;DB06678;DB00783;DB04573;DB00655;DB00005;DB00977;DB08794;DB00749;DB08984;DB00294;DB01628;DB06414;DB11358;DB06246;DB08981;DB00573;DB08977;DB08976;DB11518;DB00712;DB00569;DB10532;DB01645;DB06730;DB03404;DB01109;DB07931;DB02351;DB05767;DB06789;DB00078;DB09053;DB05266;DB01050;DB08955;DB06196;DB08887;DB08954;DB01088;DB01088;DB00458;DB00328;DB08951;DB08942;DB08940;DB01009;DB00465;DB01097;DB00367;DB09211;DB06725;DB00227;DB09212;DB01283;DB01397;DB00179;DB00939;DB09124;DB00603;DB00784;DB00351;DB00814;DB00244;DB01357;DB04817;DB00683;DB00235;DB00370;DB00688;DB01024;DB00461;DB08813;DB00735;DB00788;DB05822;DB01149;DB06802;DB04552;DB04743;DB09079;DB00717;DB00540;DB08935;DB00768;DB01250;DB04865;DB11133;DB11444;DB06635;DB00991;DB03585;DB08439;DB09260;DB00686;DB00806;DB00454;DB00498;DB00946;DB00812;DB00337;DB01100;DB04951;DB00554;DB05254;DB09369;DB06209;DB00396;DB09288;DB11312;DB11268;DB00344;DB05173;DB04575;DB02709;DB00015;DB09259;DB01207;DB08931;DB06228;DB00533;DB00412;DB01098;DB08797;DB00936;DB01399;DB05692;DB11362;DB06739;DB01236;DB00203;DB06290;DB00641;DB05073;DB01323;DB00086;DB06206;DB00795;DB00605;DB06271;DB00870;DB09317;DB09318;DB00864;DB06287;DB00031;DB00469;DB11466;DB08880;DB04905;DB00277;DB09289;DB01600;DB09070;DB08816;DB00208;DB06822;DB00932;DB00775;DB09216;DB00500;DB00081;DB07615;DB09283;DB00374;DB00374;DB00897;DB08814;DB00726;DB01401;DB00013;DB00580;DB00163;DB09030;DB00682;DB04898;DB06737;DB11478;DB00495;DB00744;DB04828
DB00002,DB00511;DB08879;DB00112;DB06772;DB00531;DB01078;DB01396;DB00390;DB01248;DB01092;DB01229;DB10283;DB00072
DB00003,
DB00004,DB00511;DB00112;DB06772;DB00531;DB01078;DB01396;DB00390;DB01248;DB01092;DB01229;DB00072
DB00005,DB01281;DB00054;DB01193;DB06736;DB01418;DB00945;DB00210;DB00630;DB09026;DB00866;DB00770;DB00479;DB00594;DB00026;DB05099;DB01435;DB11598;DB06605;DB05676;DB00407;DB00278;DB09204;DB00335;DB07402;DB00972;DB08822;DB01014;DB01014;DB00102;DB09013;DB08879;DB00542;DB00436;DB04812;DB00195;DB01295;DB00905;DB00612;DB00006;DB08807;DB00963;DB06726;DB00887;DB08808;DB06168;DB00796;DB00616;DB01197;DB00429;DB00821;DB00521;DB01136;DB01816;DB00482;DB04846;DB08904;DB09261;DB00608;DB00880;DB00310;DB01432;DB01340;DB04272;DB00720;DB09218;DB11507;DB00930;DB00375;DB00531;DB00091;DB08921;DB06695;DB06779;DB06754;DB00694;DB01609;DB06643;DB11095;DB00035;DB09214;DB09255;DB11122;DB11076;DB11241;DB00586;DB00266;DB00861;DB00390;DB11512;DB00917;DB00997;DB01395;DB09215;DB00974;DB09075;DB00584;DB09477;DB01225;DB08991;DB00445;DB00700;DB01240;DB00876;DB00187;DB00903;DB08794;DB01077;DB00749;DB08984;DB01628;DB11358;DB06246;DB08981;DB00573;DB08868;DB08976;DB11518;DB00712;DB00158;DB00569;DB01342;DB00492;DB00452;DB00695;DB08964;DB00798;DB00502;DB01109;DB02351;DB05767;DB01275;DB00999;DB00774;DB11520;DB00710;DB01050;DB08955;DB06196;DB01177;DB01088;DB00808;DB08952;DB00328;DB08951;DB00065;DB01029;DB08942;DB01172;DB08940;DB01009;DB00465;DB00598;DB01097;DB00001;DB01210;DB00722;DB01356;DB06725;DB00678;DB09212;DB01046;DB01283;DB01397;DB00179;DB00939;DB00784;DB00814;DB00244;DB00244;DB04817;DB00563;DB00232;DB01214;DB00524;DB00264;DB01578;DB00929;DB00691;DB09285;DB00688;DB01024;DB00461;DB01203;DB08813;DB00735;DB00788;DB00108;DB05822;DB00994;DB06802;DB00955;DB04552;DB04743;DB00275;DB00768;DB01250;DB01250;DB04865;DB00886;DB11444;DB06635;DB00991;DB01580;DB03585;DB00282;DB08439;DB01421;DB01359;DB00686;DB00790;DB00498;DB00946;DB00812;DB00337;DB00960;DB02925;DB04951;DB00554;DB06810;DB01324;DB01297;DB06813;DB01032;DB09288;DB00571;DB08863;DB11312;DB11268;DB05173;DB08437;DB00881;DB01325;DB10283;DB00178;DB01180;DB02709;DB09259;DB03615;DB06372;DB00884;DB06228;DB00533;DB01656;DB08797;DB00936;DB01399;DB01347;DB06763;DB06739;DB06688;DB00489;DB00919;DB01348;DB00421;DB05073;DB01082;DB00428;DB00795;DB00795;DB00605;DB06271;DB00870;DB00864;DB00864;DB09295;DB01349;DB09138;DB00966;DB08836;DB00300;DB00469;DB11466;DB08880;DB01600;DB01133;DB00373;DB00684;DB06273;DB08895;DB09216;DB00500;DB00214;DB00519;DB07615;DB00072;DB00287;DB00374;DB00384;DB01021;DB01401;DB00580;DB00177;DB00512;DB09033;DB00682;DB04898;DB06737;DB00744;DB00399;DB04828
DB00006,DB01048;DB00054;DB06736;DB01418;DB00945;DB00210;DB00346;DB01431;DB00404;DB00770;DB00009;DB11372;DB06081;DB04836;DB01223;DB00233;DB00321;DB00261;DB05099;DB00029;DB01435;DB11598;DB06605;DB05676;DB06692;DB00407;DB00278;DB06543;DB01076;DB07402;DB00972;DB01014;DB09005;DB06401;DB00102;DB09258;DB04812;DB05229;DB08873;DB00963;DB01200;DB00248;DB06441;DB00564;DB00821;DB01816;DB00482;DB09261;DB00608;DB00269;DB01166;DB00604;DB04272;DB01211;DB01242;DB09218;DB00758;DB11249;DB00286;DB00924;DB00531;DB00091;DB08921;DB06695;DB06779;DB06754;DB01254;DB01609;DB04932;DB00705;DB03619;DB01151;DB11095;DB04925;DB00304;DB09255;DB11122;DB11076;DB11241;DB00586;DB00266;DB00890;DB09123;DB00255;DB00861;DB00390;DB00320;DB00975;DB08994;DB09167;DB01142;DB01395;DB00055;DB09215;DB00378;DB00651;DB00974;DB09075;DB00109;DB01225;DB00751;DB08991;DB01240;DB01240;DB00063;DB01049;DB01253;DB00696;DB06678;DB00783;DB04573;DB00655;DB00005;DB00977;DB08794;DB00749;DB08984;DB00294;DB01628;DB06414;DB11358;DB06246;DB08981;DB00573;DB08977;DB08976;DB11518;DB00712;DB00569;DB10532;DB01645;DB06730;DB03404;DB01109;DB07931;DB02351;DB05767;DB06789;DB00078;DB09053;DB05266;DB01050;DB08955;DB06196;DB08887;DB08954;DB01088;DB01088;DB00458;DB00328;DB08951;DB08942;DB08940;DB01009;DB00465;DB01097;DB00001;DB00367;DB09211;DB06725;DB00227;DB09212;DB01283;DB01397;DB00179;DB00939;DB09124;DB00603;DB00784;DB00351;DB00814;DB00244;DB01357;DB04817;DB00683;DB00235;DB00370;DB00688;DB01024;DB00461;DB08813;DB00735;DB00788;DB05822;DB01149;DB06802;DB04552;DB04743;DB09079;DB00717;DB00540;DB08935;DB00768;DB01250;DB04865;DB11133;DB11444;DB06635;DB00991;DB03585;DB08439;DB09260;DB00686;DB00806;DB00454;DB00498;DB00946;DB00812;DB00337;DB01100;DB04951;DB00554;DB05254;DB09369;DB06209;DB00396;DB09288;DB11312;DB11268;DB00344;DB05173;DB04575;DB02709;DB00015;DB09259;DB01207;DB08931;DB06228;DB00533;DB00412;DB01098;DB08797;DB00936;DB01399;DB05692;DB11362;DB06739;DB01236;DB00203;DB06290;DB00641;DB05073;DB01323;DB00086;DB06206;DB00795;DB00605;DB06271;DB00870;DB09317;DB09318;DB00864;DB06287;DB00031;DB00469;DB11466;DB08880;DB04905;DB00277;DB09289;DB01600;DB09070;DB08816;DB00208;DB06822;DB00932;DB00775;DB09216;DB00500;DB00081;DB07615;DB09283;DB00374;DB00374;DB00897;DB08814;DB00726;DB01401;DB00013;DB00580;DB00163;DB09030;DB00682;DB04898;DB06737;DB11478;DB00495;DB00744;DB04828
DB00007,DB00284;DB00414;DB00511;DB01700;DB00346;DB06203;DB00915;DB01118;DB00321;DB00543;DB00261;DB00714;DB01274;DB01238;DB01169;DB06697;DB06216;DB01072;DB00289;DB00207;DB08903;DB00112;DB00188;DB04830;DB06719;DB06772;DB08907;DB01816;DB09063;DB00608;DB00477;DB00672;DB09201;DB00537;DB00604;DB00215;DB01211;DB01242;DB00363;DB08865;DB00531;DB08912;DB01254;DB06699;DB01189;DB01151;DB01078;DB01396;DB00390;DB01075;DB00280;DB01248;DB00204;DB00757;DB01184;DB01142;DB04855;DB00450;DB09045;DB09039;DB09038;DB08871;DB00199;DB01175;DB01276;DB04953;DB00927;DB00949;DB08868;DB01195;DB00196;DB00472;DB00875;DB00983;DB00529;DB00743;DB00674;DB01155;DB08962;DB01120;DB00222;DB01067;DB01251;DB01016;DB00014;DB00889;DB00502;DB06788;DB00557;DB00710;DB00308;DB04946;DB00458;DB05039;DB00808;DB01306;DB01307;DB00047;DB01309;DB00046;DB00071;DB00753;DB00270;DB01167;DB09083;DB01026;DB01259;DB09078;DB01137;DB08882;DB06655;DB01356;DB01601;DB06708;DB00934;DB00358;DB00331;DB00333;DB01403;DB01233;DB00916;DB00834;DB00491;DB00419;DB08893;DB00370;DB01252;DB00691;DB00218;DB00731;DB00220;DB00622;DB04868;DB01059;DB00540;DB00104;DB01165;DB00334;DB09080;DB00904;DB01092;DB00107;DB01229;DB01267;DB06603;DB00715;DB06663;DB06589;DB00738;DB00556;DB00914;DB01100;DB01132;DB01263;DB01278;DB01087;DB01035;DB00420;DB01069;DB01182;DB00818;DB00344;DB01224;DB00908;DB00468;DB00243;DB00912;DB08864;DB00734;DB00503;DB00412;DB01001;DB00938;DB01232;DB06335;DB01104;DB01236;DB01261;DB01591;DB00398;DB00489;DB01015;DB00263;DB06271;DB01268;DB00675;DB06402;DB00976;DB00871;DB04844;DB00679;DB01623;DB00697;DB00839;DB01124;DB01036;DB00539;DB00072;DB00656;DB00374;DB00440;DB00726;DB06825;DB00197;DB05294;DB00862;DB08881;DB00285;DB09082;DB04876;DB04878;DB00582;DB02546;DB00246;DB01624
DB00008,DB01223;DB00363;DB00651;DB04817;DB09208;DB01265;DB00277;DB00495
DB00009,DB00054;DB01418;DB00945;DB00770;DB00233;DB00261;DB05099;DB11598;DB06605;DB06692;DB00407;DB00278;DB00972;DB00102;DB05229;DB00006;DB06441;DB09261;DB01166;DB04272;DB00758;DB06695;DB06779;DB06754;DB04932;DB11095;DB09255;DB11122;DB11076;DB11241;DB00266;DB00861;DB00975;DB00974;DB09075;DB01225;DB00751;DB01240;DB01240;DB00063;DB08794;DB00569;DB01109;DB02351;DB05266;DB08887;DB08954;DB01088;DB01088;DB00001;DB09211;DB00244;DB00235;DB08813;DB05822;DB04743;DB00727;DB06635;DB00686;DB00806;DB00498;DB00946;DB06209;DB11312;DB11268;DB02709;DB09259;DB01207;DB06228;DB00936;DB05692;DB01236;DB05073;DB06271;DB04905;DB00208;DB00775;DB07615;DB09283;DB00374;DB08814;DB09030;DB00682;DB04898
DB00010,
