DB00001,DB01323;DB00346;DB00604;DB06605;DB06695;DB09075;DB06228;DB00227;DB04865;DB00013;DB09030;DB00683;DB01100;DB06290;DB00641;DB00932;DB00248;DB00320;DB00696;DB01049;DB01200;DB01253;DB00897;DB03404;DB00977;DB01357;DB00783;DB04574;DB09317;DB09381;DB00269;DB00286;DB01196;DB00890;DB00255;DB07931;DB13143;DB00091;DB10532;DB00864;DB00454;DB00404;DB01076;DB08873;DB00564;DB01211;DB00705;DB00655;DB01645;DB04575;DB09318;DB09369;DB11478;DB04573;DB06401;DB11674;DB12179;DB12487;DB01149;DB06692;DB00304;DB00378;DB00396;DB01431;DB06730;DB06789;DB11372;DB00294;DB00351;DB00367;DB00603;DB00717;DB01395;DB09123;DB09124;DB11619;DB00823;DB11636;DB12474;DB08931;DB01098;DB00203;DB06287;DB00343;DB00661;DB00686;DB00321;DB00344;DB00370;DB00458;DB00540;DB00726;DB00924;DB01142;DB01151;DB01242;DB04836;DB06678;DB09167;DB09289;DB12930;DB01048;DB00531;DB00390;DB00109;DB06414;DB01254;DB01609;DB03619;DB00078;DB09053;DB09079;DB08935;DB06206;DB09211;DB09070;DB00005;DB00179;DB00210;DB00244;DB00328;DB00337;DB00461;DB00465;DB00469;DB00482;DB00500;DB00533;DB00554;DB00573;DB00580;DB00586;DB00605;DB00608;DB00688;DB00712;DB00735;DB00744;DB00749;DB00768;DB00784;DB00788;DB00795;DB00812;DB00814;DB00821;DB00861;DB00870;DB00936;DB00939;DB00945;DB00963;DB00972;DB00991;DB01009;DB01014;DB01024;DB01050;DB01097;DB01250;DB01283;DB01397;DB01399;DB01401;DB01435;DB01600;DB01628;DB01816;DB02709;DB03585;DB04552;DB04743;DB04812;DB04817;DB04828;DB04951;DB05073;DB05173;DB05676;DB05767;DB06196;DB06246;DB06725;DB06736;DB06737;DB06739;DB06802;DB07402;DB07615;DB08439;DB08797;DB08880;DB08921;DB08940;DB08942;DB08951;DB08955;DB08976;DB08981;DB08984;DB08991;DB09212;DB09215;DB09216;DB09218;DB09288;DB11358;DB11444;DB11466;DB11518;DB11672;DB11687;DB11952;DB12160;DB12406;DB12480;DB12610;DB12618;DB12779;DB13001;DB11785;DB12445;DB12598;DB12617;DB11133;DB00163;DB00081;DB00006;DB00054;DB00102;DB00266;DB00278;DB00407;DB00498;DB00569;DB00682;DB00946;DB00974;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06271;DB06635;DB06754;DB06779;DB08794;DB08813;DB09255;DB09259;DB09261;DB11076;DB11095;DB11122;DB11241;DB11268;DB11312;DB11598;DB06406;DB11728;DB12289;DB12831;DB13136;DB13149;DB00233;DB06251;DB00009;DB00015;DB00029;DB00031;DB00055;DB00086;DB00208;DB00261;DB00412;DB00775;DB01166;DB04925;DB04932;DB05254;DB06081;DB06543;DB06822;DB09005;DB00063;DB00374;DB00758;DB00975;DB01088;DB01240;DB05229;DB06209;DB06441;DB08814;DB08816;DB08994;DB09258;DB09260;DB11362;DB06392;DB12545;DB12017;DB00235;DB00751;DB00770;DB00806;DB01207;DB01236;DB04905;DB05266;DB08887;DB08954;DB09283;DB12465;DB13036;DB12749;DB12092;DB00277;DB00651;DB01223;DB13141;DB00313;DB00495
DB00002,DB08879;DB00072;DB10283;DB04914;DB05322;DB05325;DB05374;DB05440;DB05942;DB06584;DB01229;DB01248;DB06772;DB00390;DB00511;DB01078;DB01092;DB01396;DB12843;DB00112;DB00531
DB00003,
DB00004,DB00072;DB01229;DB01248;DB06772;DB00390;DB00511;DB01078;DB01092;DB01396;DB12843;DB00112;DB00531
DB00005,DB00051;DB06674;DB00073;DB00461;DB00482;DB00533;DB00580;DB00749;DB01283;DB01628;DB08439;DB08976;DB01281;DB00026;DB08879;DB06168;DB08904;DB00531;DB00065;DB00108;DB00337;DB06372;DB06273;DB08895;DB09033;DB00864;DB09214;DB00465;DB09285;DB04865;DB09295;DB12768;DB10283;DB04914;DB05322;DB05325;DB05374;DB05440;DB05942;DB06584;DB00214;DB00695;DB00887;DB02925;DB00903;DB01356;DB00563;DB00300;DB01097;DB08868;DB01656;DB00091;DB00586;DB10283;DB00375;DB00930;DB01432;DB00428;DB00445;DB00452;DB00479;DB00684;DB00694;DB00798;DB00919;DB00955;DB00994;DB00997;DB01082;DB01172;DB01177;DB01421;DB01578;DB03615;DB06810;DB08437;DB11512;DB11520;DB11617;DB12604;DB00385;DB04263;DB04626;DB04729;DB04808;DB04978;DB06013;DB06263;DB06420;DB06696;DB11616;DB11618;DB09026;DB01609;DB00035;DB00218;DB00365;DB00467;DB00487;DB00537;DB00685;DB00779;DB00817;DB00827;DB00978;DB01044;DB01059;DB01137;DB01155;DB01165;DB01208;DB01405;DB04576;DB06160;DB06600;DB08972;DB11774;DB11892;DB00390;DB01395;DB00700;DB00502;DB01275;DB06813;DB01032;DB00374;DB00512;DB00232;DB00310;DB00436;DB00524;DB00774;DB00808;DB00880;DB00999;DB01021;DB01324;DB01325;DB00244;DB00795;DB01014;DB01250;DB06643;DB06688;DB00072;DB00630;DB00720;DB00884;DB01077;DB09138;DB00282;DB00399;DB00710;DB01133;DB09411;DB00158;DB00287;DB00429;DB00770;DB00905;DB00917;DB00929;DB01046;DB01088;DB01240;DB11507;DB08964;DB12789;DB12708;DB00654;DB01160;DB02304;DB03866;DB05229;DB06826;DB08819;DB09211;DB11411;DB11425;DB11454;DB11519;DB00001;DB00006;DB00054;DB00102;DB00266;DB00278;DB00407;DB00498;DB00569;DB00682;DB00686;DB00946;DB00974;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06228;DB06271;DB06605;DB06635;DB06695;DB06754;DB06779;DB08794;DB08813;DB09075;DB09255;DB09259;DB09261;DB11076;DB11095;DB11122;DB11241;DB11268;DB11312;DB11598;DB06406;DB11728;DB12289;DB12831;DB13136;DB12598;DB13149;DB00223;DB00240;DB00253;DB00288;DB00324;DB00394;DB00443;DB00547;DB00620;DB00635;DB00655;DB00663;DB00687;DB00741;DB00838;DB00846;DB00860;DB00896;DB00959;DB01013;DB01047;DB01130;DB01222;DB01234;DB01380;DB01384;DB01410;DB01536;DB01708;DB02187;DB02789;DB03515;DB04630;DB05804;DB06780;DB06781;DB08970;DB08971;DB09095;DB09378;DB11487;DB11529;DB00180;DB00588;DB00764;DB08906;DB09091;DB11750;DB00591;DB01134;DB01434;DB01456;DB04574;DB04870;DB05107;DB05212;DB05402;DB05410;DB06157;DB06250;DB08905;DB12081;DB00179;DB00210;DB00328;DB00469;DB00500;DB00554;DB00573;DB00605;DB00608;DB00688;DB00712;DB00735;DB00744;DB00768;DB00784;DB00788;DB00812;DB00814;DB00821;DB00861;DB00870;DB00936;DB00939;DB00945;DB00963;DB00972;DB00991;DB01009;DB01024;DB01050;DB01397;DB01399;DB01401;DB01435;DB01600;DB01816;DB02709;DB03585;DB04552;DB04743;DB04812;DB04817;DB04828;DB04951;DB05073;DB05173;DB05676;DB05767;DB06196;DB06246;DB06725;DB06736;DB06737;DB06739;DB06802;DB07402;DB07615;DB08797;DB08880;DB08921;DB08940;DB08942;DB08951;DB08955;DB08981;DB08984;DB08991;DB09212;DB09215;DB09216;DB09218;DB09288;DB11358;DB11444;DB11466;DB11518;DB11672;DB11687;DB11952;DB12160;DB12406;DB12480;DB12610;DB12618;DB12779;DB13001;DB11785;DB12445;DB12617;DB00864;DB00177;DB00275;DB00678;DB00796;DB00876;DB00966;DB01029;DB01347;DB01349;DB06763;DB01342;DB08822;DB09292;DB00178;DB00492;DB00519;DB00542;DB00584;DB00691;DB00722;DB00790;DB00881;DB00886;DB01197;DB01340;DB01348;DB08836;DB09477;DB01180;DB00616;DB11783;DB00384;DB00421;DB00594;DB00187;DB00195;DB00264;DB00335;DB00373;DB00489;DB00521;DB00571;DB00598;DB00612;DB00866;DB00960;DB01136;DB01193;DB01203;DB01210;DB01214;DB01295;DB01297;DB01359;DB01580;DB04846;DB06726;DB08807;DB08808;DB08952;DB09013;DB09204;DB12212;DB12752
DB00006,DB01323;DB00346;DB00604;DB06605;DB06695;DB09075;DB06228;DB00227;DB04865;DB00013;DB09030;DB00683;DB01100;DB06290;DB00641;DB00932;DB00248;DB00320;DB00696;DB01049;DB01200;DB01253;DB00897;DB03404;DB00977;DB01357;DB00783;DB04574;DB09317;DB09381;DB00269;DB00286;DB01196;DB00890;DB00255;DB07931;DB13143;DB00091;DB10532;DB00864;DB00454;DB00404;DB01076;DB08873;DB00564;DB01211;DB00705;DB00655;DB01645;DB04575;DB09318;DB09369;DB11478;DB04573;DB06401;DB11674;DB12179;DB12487;DB01149;DB06692;DB00304;DB00378;DB00396;DB01431;DB06730;DB06789;DB11372;DB00294;DB00351;DB00367;DB00603;DB00717;DB01395;DB09123;DB09124;DB11619;DB00823;DB11636;DB12474;DB08931;DB01098;DB00203;DB06287;DB00343;DB00661;DB00686;DB00321;DB00344;DB00370;DB00458;DB00540;DB00726;DB00924;DB01142;DB01151;DB01242;DB04836;DB06678;DB09167;DB09289;DB12930;DB01048;DB00531;DB00390;DB00109;DB06414;DB01254;DB01609;DB03619;DB00078;DB09053;DB09079;DB08935;DB06206;DB09211;DB09070;DB00005;DB00179;DB00210;DB00244;DB00328;DB00337;DB00461;DB00465;DB00469;DB00482;DB00500;DB00533;DB00554;DB00573;DB00580;DB00586;DB00605;DB00608;DB00688;DB00712;DB00735;DB00744;DB00749;DB00768;DB00784;DB00788;DB00795;DB00812;DB00814;DB00821;DB00861;DB00870;DB00936;DB00939;DB00945;DB00963;DB00972;DB00991;DB01009;DB01014;DB01024;DB01050;DB01097;DB01250;DB01283;DB01397;DB01399;DB01401;DB01435;DB01600;DB01628;DB01816;DB02709;DB03585;DB04552;DB04743;DB04812;DB04817;DB04828;DB04951;DB05073;DB05173;DB05676;DB05767;DB06196;DB06246;DB06725;DB06736;DB06737;DB06739;DB06802;DB07402;DB07615;DB08439;DB08797;DB08880;DB08921;DB08940;DB08942;DB08951;DB08955;DB08976;DB08981;DB08984;DB08991;DB09212;DB09215;DB09216;DB09218;DB09288;DB11358;DB11444;DB11466;DB11518;DB11672;DB11687;DB11952;DB12160;DB12406;DB12480;DB12610;DB12618;DB12779;DB13001;DB11785;DB12445;DB12598;DB12617;DB11133;DB00163;DB00081;DB00001;DB00054;DB00102;DB00266;DB00278;DB00407;DB00498;DB00569;DB00682;DB00946;DB00974;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06271;DB06635;DB06754;DB06779;DB08794;DB08813;DB09255;DB09259;DB09261;DB11076;DB11095;DB11122;DB11241;DB11268;DB11312;DB11598;DB06406;DB11728;DB12289;DB12831;DB13136;DB13149;DB00233;DB06251;DB00009;DB00015;DB00029;DB00031;DB00055;DB00086;DB00208;DB00261;DB00412;DB00775;DB01166;DB04925;DB04932;DB05254;DB06081;DB06543;DB06822;DB09005;DB00063;DB00374;DB00758;DB00975;DB01088;DB01240;DB05229;DB06209;DB06441;DB08814;DB08816;DB08994;DB09258;DB09260;DB11362;DB06392;DB12545;DB12017;DB00235;DB00751;DB00770;DB00806;DB01207;DB01236;DB04905;DB05266;DB08887;DB08954;DB09283;DB12465;DB13036;DB12749;DB12092;DB00277;DB00651;DB01223;DB13141;DB00313;DB00495
DB00007,DB00204;DB00215;DB00246;DB00261;DB00280;DB00308;DB00468;DB00472;DB00489;DB00539;DB00604;DB00679;DB00875;DB00908;DB01035;DB01100;DB01118;DB01169;DB01175;DB01184;DB01224;DB01267;DB01601;DB01624;DB04844;DB04855;DB04868;DB04946;DB05294;DB06216;DB06697;DB06708;DB08881;DB09039;DB09066;DB09083;DB00834;DB00072;DB00014;DB00199;DB00207;DB00218;DB00263;DB00333;DB00363;DB00420;DB00450;DB00477;DB00502;DB00537;DB00556;DB00608;DB00738;DB00743;DB00757;DB00889;DB00904;DB00976;DB01087;DB01137;DB01155;DB01165;DB01182;DB01195;DB01211;DB01232;DB06402;DB06589;DB06603;DB08865;DB08903;DB09063;DB09078;DB01229;DB01248;DB06772;DB00390;DB00511;DB01078;DB01092;DB01396;DB12843;DB00112;DB00531;DB00104;DB00107;DB00188;DB00196;DB00220;DB00243;DB00270;DB00285;DB00289;DB00321;DB00334;DB00344;DB00346;DB00358;DB00370;DB00374;DB00398;DB00440;DB00458;DB00503;DB00529;DB00540;DB00543;DB00557;DB00582;DB00622;DB00656;DB00674;DB00675;DB00691;DB00697;DB00710;DB00714;DB00715;DB00726;DB00734;DB00753;DB00808;DB00818;DB00862;DB00871;DB00915;DB00916;DB00927;DB00934;DB00938;DB00949;DB00983;DB01001;DB01015;DB01026;DB01036;DB01059;DB01069;DB01072;DB01075;DB01104;DB01142;DB01151;DB01167;DB01189;DB01233;DB01236;DB01238;DB01242;DB01254;DB01259;DB01263;DB01268;DB01274;DB01356;DB01403;DB01591;DB01623;DB02546;DB04953;DB05039;DB06663;DB06699;DB06719;DB06788;DB06825;DB08864;DB08868;DB08871;DB08893;DB08912;DB09080;DB09082;DB09277;DB00046;DB00047;DB00071;DB00197;DB00222;DB00284;DB00331;DB00412;DB00414;DB00419;DB00491;DB00672;DB00731;DB00839;DB00912;DB00914;DB01016;DB01067;DB01120;DB01124;DB01132;DB01251;DB01252;DB01261;DB01276;DB01278;DB01306;DB01307;DB01309;DB01700;DB01816;DB04830;DB04876;DB04878;DB06203;DB06271;DB06335;DB06655;DB08882;DB08907;DB08962;DB09038;DB09045;DB09201;DB11898;DB12692;DB12781;DB12991
DB00008,DB04817;DB00363;DB01265;DB12768;DB00041;DB00697;DB09208;DB00277;DB00651;DB01223;DB13141;DB00333;DB00811;DB00495
DB00009,DB06692;DB09211;DB06695;DB00727;DB00001;DB00006;DB00054;DB00102;DB00266;DB00278;DB00407;DB00498;DB00569;DB00682;DB00686;DB00946;DB00974;DB01109;DB01225;DB01418;DB04272;DB04898;DB05099;DB06228;DB06271;DB06605;DB06635;DB06754;DB06779;DB08794;DB08813;DB09075;DB09255;DB09259;DB09261;DB11076;DB11095;DB11122;DB11241;DB11268;DB11312;DB11598;DB06406;DB11728;DB12289;DB12831;DB13136;DB12598;DB13149;DB00233;DB00244;DB00861;DB00936;DB00945;DB01014;DB01250;DB06251;DB12445;DB00063;DB00208;DB00235;DB00261;DB00751;DB00758;DB00770;DB00775;DB00806;DB00972;DB00975;DB01088;DB01166;DB01207;DB01236;DB01240;DB02709;DB04743;DB04905;DB04932;DB05073;DB05229;DB05266;DB06209;DB06441;DB07615;DB08814;DB08887;DB08954;DB09030;DB09283;DB06392;DB12465;DB13036;DB12749;DB12092;DB00374
DB00010,
